date,turnover,transaction_cost_paid,train_start,train_end
2025-04-30,1.529423728866178,0.1686011321670519,2024-05-10,2025-04-29
2025-05-30,1.0839059528229393,0.11634880581126697,2024-06-11,2025-05-29
2025-06-30,1.1524163827735618,0.12598984936761826,2024-07-10,2025-06-27
2025-07-31,1.1705335836974933,0.12655260434575508,2024-08-12,2025-07-30
2025-08-29,1.2167962069815346,0.12702970423449136,2024-09-10,2025-08-28
2025-09-30,0.28860220950149695,0.03207377621745971,2024-10-10,2025-09-29
2025-10-31,0.7954146800253155,0.09382975178284499,2024-11-12,2025-10-30
2025-11-28,0.32587096202934007,0.03895528898440865,2024-12-10,2025-11-27
2025-12-31,0.5131712096472408,0.062410685256412086,2025-01-10,2025-12-30
2026-01-30,1.2786439747990839,0.14995799382939579,2025-02-10,2026-01-29
2026-02-27,0.4965668162857337,0.05711228839585427,2025-03-10,2026-02-26
2026-03-31,1.0628878366646977,0.1048889692629729,2025-04-09,2026-03-30
2026-04-22,0.36191611718417577,0.04112758276963834,2025-05-01,2026-04-21
