Stock,Total Return (%),Annual Return (%),Annual Volatility (%),Sharpe Ratio
GOOGL,115.57,41.78,29.74,1.18
AAPL,64.62,28.12,27.94,0.76
JSWSTEEL.NS,51.89,23.63,25.64,0.66
TATASTEEL.NS,37.34,19.55,28.63,0.45
ICICIBANK.NS,29.43,14.4,19.2,0.4
AXISBANK.NS,30.71,15.9,23.98,0.38
ULTRACEMCO.NS,27.83,14.67,23.37,0.34
POWERGRID.NS,19.59,11.94,25.42,0.2
SUNPHARMA.NS,14.31,8.33,19.1,0.08
NESTLEIND.NS,12.6,7.62,19.29,0.04
HDFCBANK.NS,10.63,6.8,19.39,0.0
MSFT,7.49,6.42,24.09,-0.02
KOTAKBANK.NS,5.63,5.4,23.37,-0.06
MARUTI.NS,5.69,5.12,22.15,-0.07
SHREECEM.NS,5.67,4.93,21.22,-0.09
HINDUNILVR.NS,6.24,4.92,19.93,-0.09
DRREDDY.NS,3.8,3.92,20.55,-0.14
WIPRO.NS,-5.34,0.82,26.38,-0.23
INFY.NS,-3.3,1.28,24.13,-0.23
RELIANCE.NS,-6.58,-1.09,21.09,-0.37
LTTS.NS,-28.53,-11.53,31.07,-0.59
ITC.NS,-19.41,-8.79,18.4,-0.85
TCS.NS,-28.16,-13.87,21.06,-0.98
